Brand,coverImage,Name,year,length,width,weight,thickness
Nokia,https://fdn2.gsmarena.com/vv/bigpic/no3210b.gif,Nokia 3210,1999,123.8,50.5,151.0,22.5
Nokia,https://fdn2.gsmarena.com/vv/bigpic/no5110b.gif,Nokia 5110,1998,132.0,47.5,170.0,31.0
Nokia,https://fdn2.gsmarena.com/vv/bigpic/no6110b.gif,Nokia 6110,1998,130.0,47.0,137.0,28.0
Nokia,https://fdn2.gsmarena.com/vv/bigpic/no6130b.gif,Nokia 6130,1998,141.0,48.0,152.0,25.0
Nokia,https://fdn2.gsmarena.com/vv/bigpic/no6150b.gif,Nokia 6150,1998,129.0,47.0,141.0,28.0
Nokia,https://fdn2.gsmarena.com/vv/bigpic/no8110b.gif,Nokia 8110,1996,141.0,48.0,152.0,25.0
Nokia,https://fdn2.gsmarena.com/vv/bigpic/no6210b.gif,Nokia 6210,2000,129.5,47.3,114.0,18.8
Nokia,https://fdn2.gsmarena.com/vv/bigpic/no6250b.gif,Nokia 6250,2000,142.0,50.0,167.0,27.0
Nokia,https://fdn2.gsmarena.com/vv/bigpic/no9000b.gif,Nokia 9000 Communicator,1998,173.0,64.0,397.0,38.0
Nokia,https://fdn2.gsmarena.com/vv/bigpic/no9110ib.gif,Nokia 9110i Communicator,1999,158.0,56.0,253.0,27.0
Nokia,https://fdn2.gsmarena.com/vv/bigpic/no8210t.gif,Nokia 8210,1999,101.5,44.5,79.0,17.4
Nokia,https://fdn2.gsmarena.com/vv/bigpic/no8810t.gif,Nokia 8810,1998,107.0,46.0,118.0,18.0
Nokia,https://fdn2.gsmarena.com/vv/bigpic/no8850t.gif,Nokia 8850,1999,100.0,44.0,91.0,17.0
Nokia,https://fdn2.gsmarena.com/vv/bigpic/no8890t.gif,Nokia 8890,2000,100.0,44.0,91.0,18.0
Nokia,https://fdn2.gsmarena.com/vv/bigpic/no2110b.gif,Nokia 2110,1995,148.0,56.0,236.0,25.0
alcatel,https://fdn2.gsmarena.com/vv/bigpic/alclub2b.gif,alcatel OT Club db,2000,122.0,48.0,150.0,25.0
alcatel,https://fdn2.gsmarena.com/vv/bigpic/aleasy2b.gif,alcatel OT Easy db,2000,122.0,48.0,150.0,25.0
alcatel,https://fdn2.gsmarena.com/vv/bigpic/almax2b.gif,alcatel OT Max db,2000,122.0,48.0,150.0,25.0
alcatel,https://fdn2.gsmarena.com/vv/bigpic/alview2b.gif,alcatel OT View db,2000,133.0,54.0,150.0,25.0
alcatel,https://fdn2.gsmarena.com/vv/bigpic/alview3b.gif,alcatel OT View db @,2000,133.0,54.0,150.0,25.0
alcatel,https://fdn2.gsmarena.com/vv/bigpic/alpockb.gif,alcatel OT Pocket,1999,116.0,65.0,125.0,19.0
alcatel,https://fdn2.gsmarena.com/vv/bigpic/alcomb.gif,alcatel OT COM,1998,151.0,62.0,230.0,24.0
alcatel,https://fdn2.gsmarena.com/vv/bigpic/alprob.gif,alcatel OT Pro,1998,133.0,54.0,145.0,15.0
alcatel,https://fdn2.gsmarena.com/vv/bigpic/aleasyb.gif,alcatel OT Easy HF,1998,133.0,54.0,160.0,25.0
alcatel,https://fdn2.gsmarena.com/vv/bigpic/aleasy1b.gif,alcatel OT Easy,1998,133.0,54.0,160.0,25.0
alcatel,https://fdn2.gsmarena.com/vv/bigpic/alclubb.gif,alcatel OT Club,1998,133.0,54.0,160.0,28.0
alcatel,https://fdn2.gsmarena.com/vv/bigpic/alclubpb.gif,alcatel OT Club +,1998,133.0,54.0,160.0,28.0
alcatel,https://fdn2.gsmarena.com/vv/bigpic/almaxb.gif,alcatel OT Max,1998,133.0,54.0,160.0,25.0
alcatel,https://fdn2.gsmarena.com/vv/bigpic/alviewb.gif,alcatel OT View,1998,133.0,54.0,160.0,25.0
alcatel,https://fdn2.gsmarena.com/vv/bigpic/alh1000b.gif,alcatel HC 1000,1997,143.0,60.0,172.0,23.0
alcatel,https://fdn2.gsmarena.com/vv/bigpic/alh800b.gif,alcatel HC 800,1997,143.0,60.0,172.0,23.0
Benefon,https://fdn2.gsmarena.com/vv/bigpic/betwinb.gif,Benefon Twin,2000,112.0,49.0,105.0,27.0
Benefon,https://fdn2.gsmarena.com/vv/bigpic/beqb.gif,Benefon Q,2000,100.0,46.0,89.0,18.0
Benefon,https://fdn2.gsmarena.com/vv/bigpic/belocub.gif,Benefon Track,2000,129.0,49.0,149.0,23.0
Benefon,https://fdn2.gsmarena.com/vv/bigpic/beescb.gif,Benefon Esc!,1999,129.0,49.0,150.0,23.0
Benefon,https://fdn2.gsmarena.com/vv/bigpic/beiob.gif,Benefon iO,1999,122.0,56.0,167.0,24.0
Benefon,https://fdn2.gsmarena.com/vv/bigpic/bevegab.gif,Benefon Vega,1999,145.0,56.0,190.0,23.0
Samsung,https://fdn2.gsmarena.com/vv/bigpic/ss250b.gif,Samsung SGH-250,1996,124.0,48.0,179.0,25.0
Mitsubishi,https://fdn2.gsmarena.com/vv/bigpic/migalab.gif,Mitsubishi Trium Galaxy,1999,132.0,49.0,149.0,29.0
Mitsubishi,https://fdn2.gsmarena.com/vv/bigpic/miastrb.gif,Mitsubishi Trium Astral,1999,132.0,49.0,149.0,29.0
Mitsubishi,https://fdn2.gsmarena.com/vv/bigpic/migeob.gif,Mitsubishi Trium Geo,1999,132.0,49.0,149.0,29.0
Mitsubishi,https://fdn2.gsmarena.com/vv/bigpic/migeo2b.gif,Mitsubishi Trium Geo-@,1999,132.0,49.0,149.0,29.0
Mitsubishi,https://fdn2.gsmarena.com/vv/bigpic/miariab.gif,Mitsubishi Trium Aria,2000,123.0,40.0,90.0,23.0
Mitsubishi,https://fdn2.gsmarena.com/vv/bigpic/micosmb.gif,Mitsubishi Trium Cosmo,2000,103.0,51.0,69.0,16.0
Mitsubishi,https://fdn2.gsmarena.com/vv/bigpic/mifxb.gif,Mitsubishi Trium fx,2000,120.0,50.0,120.0,28.0
Mitsubishi,https://fdn2.gsmarena.com/vv/bigpic/mixsb.gif,Mitsubishi Trium xs,2000,120.0,50.0,120.0,28.0
Mitsubishi,https://fdn2.gsmarena.com/vv/bigpic/mimondb.gif,Mitsubishi Trium Mondo,2000,139.5,84.0,200.0,19.0
Motorola,https://fdn2.gsmarena.com/vv/bigpic/mom3888b.gif,Motorola M3888,1999,140.0,50.0,170.0,25.0
Motorola,https://fdn2.gsmarena.com/vv/bigpic/mom3788b.gif,Motorola M3788,1999,140.0,50.0,170.0,25.0
Motorola,https://fdn2.gsmarena.com/vv/bigpic/mom3688b.gif,Motorola M3688,1999,140.0,50.0,170.0,25.0
Motorola,https://fdn2.gsmarena.com/vv/bigpic/mom3588b.gif,Motorola M3588,1999,140.0,50.0,170.0,25.0
Motorola,https://fdn2.gsmarena.com/vv/bigpic/mom3288b.gif,Motorola M3288,1999,140.0,50.0,170.0,25.0
Motorola,https://fdn2.gsmarena.com/vv/bigpic/mom3188b.gif,Motorola M3188,1999,140.0,50.0,170.0,25.0
Motorola,https://fdn2.gsmarena.com/vv/bigpic/mocd920b.gif,Motorola cd920,1998,129.0,55.0,120.0,27.0
Motorola,https://fdn2.gsmarena.com/vv/bigpic/mocd930b.gif,Motorola cd930,1998,129.0,55.0,120.0,27.0
